BinNum,Powheg+PY6 hdamp=m_{t}Val,Powheg+PY6 hdamp=m_{t}Ratio,Powheg+PY8 hdamp=m_{t}Val,Powheg+PY8 hdamp=m_{t}Ratio,MC@NLO+HWVal,MC@NLO+HWRatio,Powheg+HWVal,Powheg+HWRatio,
0,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,
1,1.074444,0.025456,1.099237,0.025670,1.103887,0.029438,1.773828,0.031326,
2,1.039646,0.008952,1.021734,0.009214,1.023225,0.010829,1.179291,0.008891,
3,1.008584,0.004571,1.010317,0.004423,1.012978,0.005225,1.049856,0.003728,
4,0.999992,0.002858,1.002395,0.002600,0.998946,0.003185,1.015503,0.002085,
5,1.000924,0.001835,1.001195,0.001822,0.997343,0.002506,1.007101,0.000876,
6,1.000849,0.000963,0.999357,0.001160,0.999858,0.001193,1.003566,0.000451,
7,0.999190,0.000933,1.000916,0.000473,1.000801,0.000471,1.001298,0.000311,
8,0.999558,0.000770,1.000541,0.000339,1.000450,0.000400,1.000767,0.000253,
9,1.000494,0.000233,1.000494,0.000233,0.999135,0.000998,1.000494,0.000233,
10,1.000261,0.000163,1.000261,0.000163,1.000261,0.000163,1.000261,0.000163,
11,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,
12,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,
13,1.000040,0.000040,1.000040,0.000040,1.000040,0.000040,1.000040,0.000040,
14,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,
15,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,
16,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,
17,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,
18,1.025153,0.027323,1.093172,0.026762,1.019608,0.032297,1.752363,0.030037,
19,1.032809,0.011000,1.043092,0.010672,1.039485,0.013017,1.203820,0.008549,
20,1.005320,0.006098,1.010885,0.005666,1.013176,0.006952,1.051970,0.004674,
21,0.999721,0.004146,1.006951,0.003471,1.001442,0.004678,1.020349,0.001810,
22,1.001076,0.002498,1.004545,0.001999,1.000239,0.003553,1.007771,0.001231,
23,1.001695,0.001333,1.001405,0.001473,0.998826,0.002965,1.004192,0.000743,
24,1.002707,0.001374,0.999069,0.002481,1.000221,0.003060,1.004061,0.000976,
25,1.000901,0.000451,0.999506,0.001467,1.002274,0.002746,1.000901,0.000451,
26,1.000621,0.000479,1.000621,0.000479,0.996921,0.003000,1.000621,0.000479,
27,0.997046,0.004140,1.001099,0.000810,1.001099,0.000810,1.001099,0.000810,
28,1.000681,0.000518,1.000681,0.000518,1.000681,0.000518,1.000681,0.000518,
29,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,
30,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,
31,1.017291,0.038231,1.041513,0.037268,1.050683,0.047765,1.603766,0.065412,
32,1.000474,0.010177,1.017899,0.009342,1.017184,0.013272,1.125526,0.007174,
33,0.997193,0.005240,0.998575,0.004715,0.997536,0.006258,1.015775,0.001960,
34,1.002864,0.000947,1.001397,0.001543,0.994820,0.005116,1.003261,0.000905,
35,1.001741,0.001208,0.999204,0.002812,0.998325,0.003661,1.001741,0.001208,
36,1.066362,0.054128,1.021735,0.053265,1.136525,0.081662,1.622857,0.071434,
37,1.008121,0.016794,1.003048,0.015718,1.027249,0.031994,1.119957,0.007611,
38,1.000626,0.010437,1.013230,0.004736,1.008376,0.016540,1.017118,0.003807,
39,1.001333,0.000938,1.001333,0.000938,0.957986,0.027844,1.001333,0.000938,
40,1.073630,0.082228,1.042377,0.077644,0.914933,0.147619,1.546717,0.066181,
41,1.030790,0.016747,1.005121,0.017641,0.997443,0.054988,1.066894,0.008354,
42,1.0,0,1.0,0,1.0,0,1.0,0,
