BinNum,Powheg+PY6 hdamp=#inftyVal,Powheg+PY6 hdamp=#inftyRatio,Powheg+PY6 hdamp=m_{t}Val,Powheg+PY6 hdamp=m_{t}Ratio,Powheg+PY8 hdamp=m_{t}Val,Powheg+PY8 hdamp=m_{t}Ratio,MC@NLO+HWVal,MC@NLO+HWRatio,Powheg+HWVal,Powheg+HWRatio,
0,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,
1,1.053438,0.003186,0.897877,0.006847,0.927425,0.006971,0.891953,0.007012,1.010883,0.005360,
2,1.052957,0.003467,0.971572,0.008087,0.983693,0.008056,0.968738,0.008292,1.023364,0.005961,
3,1.057326,0.003765,1.003795,0.009161,1.038761,0.009182,1.008450,0.009437,1.058145,0.006641,
4,1.049240,0.004023,1.025213,0.010072,1.037827,0.009984,1.029068,0.010340,1.044167,0.007115,
5,1.035618,0.004279,1.036963,0.010924,1.034333,0.010750,1.036652,0.011296,1.041500,0.007622,
6,1.026161,0.003307,1.027253,0.008558,1.028096,0.008354,1.054989,0.008982,1.021111,0.005886,
7,1.021273,0.003740,1.045494,0.010048,1.024630,0.009533,1.021165,0.010158,1.013966,0.006748,
8,0.994625,0.004111,1.032671,0.011172,1.016282,0.010798,1.015488,0.011253,1.032678,0.007605,
9,0.984870,0.004525,0.991353,0.012169,1.035509,0.012249,1.029708,0.012794,1.016834,0.008367,
10,0.982367,0.005007,0.989700,0.013548,1.029207,0.013590,1.025388,0.014360,0.992393,0.009155,
11,0.967486,0.003661,0.970785,0.010072,0.961763,0.009741,1.021867,0.010706,0.972171,0.006707,
12,0.960226,0.004506,0.989721,0.013154,0.969251,0.012433,0.957937,0.012905,0.989707,0.008480,
13,0.962258,0.005486,0.937559,0.015493,0.959150,0.015325,1.046091,0.017023,0.961014,0.010010,
14,0.984363,0.006685,0.952989,0.018824,1.002848,0.019252,0.992886,0.019888,0.938717,0.011616,
15,0.962294,0.007685,0.991689,0.023266,0.995514,0.023174,0.953327,0.023347,1.004617,0.014737,
16,0.982794,0.009259,1.079510,0.029598,0.991171,0.027395,1.080361,0.032269,1.080454,0.018647,
17,0.973774,0.005280,0.955566,0.015328,0.953368,0.014917,0.998636,0.018898,0.985324,0.009902,
18,1.013949,0.003285,0.957479,0.008088,0.938648,0.007821,0.964713,0.008379,1.000664,0.005699,
19,1.021250,0.003886,0.984560,0.009946,0.983760,0.009652,0.991953,0.010476,1.007642,0.006770,
20,1.006389,0.004421,0.993551,0.011680,1.021711,0.011436,0.979652,0.012304,1.007837,0.007811,
21,1.027183,0.005184,1.040260,0.014022,1.038217,0.013400,1.012062,0.015002,1.018827,0.009187,
22,0.997945,0.005731,0.987197,0.015477,0.991856,0.014631,0.993749,0.017110,1.004501,0.010298,
23,0.994452,0.004830,0.993568,0.013343,0.987979,0.012387,1.017300,0.015137,1.005471,0.008688,
24,0.964314,0.005902,0.992059,0.017034,1.012453,0.016000,1.028656,0.019870,0.985638,0.010746,
25,0.928839,0.006949,0.929455,0.019493,1.038532,0.019704,0.988829,0.024393,0.952375,0.012780,
26,0.925298,0.008429,0.929776,0.024166,1.008465,0.023776,0.912300,0.029705,0.964607,0.015564,
27,0.927852,0.010224,0.974675,0.030451,1.051640,0.029391,1.031486,0.038566,0.958223,0.018688,
28,0.880002,0.007977,0.912214,0.024550,0.959752,0.022098,0.975227,0.033968,0.958881,0.015347,
29,0.880433,0.011837,0.967503,0.039714,0.932479,0.031590,0.992318,0.056414,1.034027,0.024431,
30,0.907895,0.011427,0.795133,0.032023,0.881464,0.027082,1.181405,0.098198,0.845943,0.019410,
31,0.993321,0.004453,0.975585,0.011795,0.987774,0.011382,0.919958,0.012830,0.996997,0.007746,
32,1.003742,0.004388,0.991221,0.012034,0.996866,0.011284,0.997883,0.014530,0.980516,0.007581,
33,0.939513,0.006107,0.995366,0.018112,0.957168,0.015870,0.963041,0.023462,0.957151,0.011016,
34,0.933919,0.006603,0.915321,0.018667,0.981011,0.017490,0.891181,0.027650,0.941136,0.011810,
35,0.861810,0.010176,0.829821,0.030605,0.949127,0.026750,0.902492,0.071527,0.952051,0.020332,
36,0.957462,0.006727,0.933202,0.018186,0.949966,0.017406,0.887464,0.024038,0.952122,0.011691,
37,0.975884,0.007368,0.963721,0.020976,1.024886,0.019629,0.940799,0.031829,0.970410,0.012850,
38,0.897079,0.011193,0.896376,0.033644,0.898953,0.028489,0.780145,0.055533,0.904179,0.020054,
39,0.875306,0.012475,0.811876,0.035563,0.862404,0.028973,0.743953,0.093307,0.853524,0.022254,
40,0.939557,0.011310,0.936923,0.032750,0.975426,0.029761,0.947325,0.057203,0.976753,0.020921,
41,0.942697,0.010939,0.957613,0.033527,0.922285,0.027072,0.989452,0.087701,0.978328,0.020116,
42,1.0,0,1.0,0,1.0,0,1.0,0,1.0,0,
